GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
-1660202563,Dominion,25,GAME_OVER,293,0,4,2,random,7.0,5.0,5.0,9.0,random,random,random,2,30,9,11,29,7,18,0,6,4,2,0,10,8,12,0,3,4,8,27,1,0,41,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 4.0, 7.0, 3.0, 3.0, 5.0, 7.0, 3.0, 4.0, 5.0, 7.0, 3.0, 5.0, 5.0, 7.0, 3.0, 5.0, 5.0, 8.0, 3.0, 5.0, 5.0, 8.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 10.0, 3.0, 5.0, 5.0, 10.0, 3.0, 5.0, 5.0, 10.0, 4.0, 5.0, 6.0, 10.0, 4.0, 5.0, 6.0, 10.0, 4.0, 5.0, 6.0, 10.0, 4.0, 5.0, 6.0, 10.0, 4.0, 5.0, 7.0, 10.0, 4.0, 5.0, 7.0, 10.0, 4.0, 5.0, 7.0, 9.0, 5.0, 5.0, 7.0, 9.0, 5.0, 5.0, 7.0, 9.0, 5.0]"
2113966929,Dominion,22,GAME_OVER,253,3,4,3,random,7.0,9.0,4.0,4.0,random,random,random,0,29,9,12,34,6,10,3,6,2,2,0,10,7,12,0,3,4,10,11,3,2,28,"[3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 4.0, 5.0, 5.0, 3.0, 4.0, 5.0, 5.0, 3.0, 4.0, 6.0, 5.0, 3.0, 4.0, 7.0, 5.0, 3.0, 4.0, 7.0, 6.0, 3.0, 4.0, 7.0, 6.0, 4.0, 4.0, 8.0, 6.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0, 9.0, 7.0, 4.0, 4.0]"
1208137549,Dominion,23,GAME_OVER,247,3,4,4,random,7.0,8.0,5.0,5.0,random,random,random,7,29,8,11,29,6,18,0,7,1,0,1,6,7,12,0,3,3,7,15,7,1,52,"[3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 6.0, 4.0, 5.0, 4.0, 6.0, 4.0, 5.0, 7.0, 7.0, 4.0, 5.0, 7.0, 7.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0, 8.0, 7.0, 5.0, 5.0, 8.0, 7.0, 5.0, 5.0]"
403911696,Dominion,24,GAME_OVER,268,0,4,5,random,6.0,5.0,5.0,7.0,random,random,random,3,29,10,12,33,8,10,0,6,4,0,2,10,4,12,0,3,2,4,25,4,0,62,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 4.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 4.0, 6.0, 5.0, 4.0, 4.0, 6.0, 5.0, 4.0, 5.0, 6.0, 6.0, 5.0, 5.0, 6.0, 6.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 7.0, 5.0]"
470162023,Dominion,23,GAME_OVER,240,0,4,6,random,5.0,4.0,8.0,5.0,random,random,random,3,29,10,11,33,9,17,2,6,0,0,0,9,9,12,5,3,1,2,34,1,0,53,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 5.0, 3.0, 3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 3.0, 3.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 5.0, 5.0, 7.0, 4.0, 5.0, 5.0, 8.0, 4.0, 5.0, 5.0, 8.0]"
-1317644457,Dominion,22,GAME_OVER,253,3,4,7,random,7.0,4.0,8.0,8.0,random,random,random,5,30,9,11,29,9,16,6,9,6,0,0,8,8,12,0,3,0,0,26,1,0,49,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 6.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 4.0, 3.0, 3.0, 7.0, 5.0, 3.0, 3.0, 8.0, 5.0, 3.0, 3.0, 8.0, 5.0, 3.0, 3.0, 8.0, 5.0, 3.0, 4.0, 8.0, 5.0, 3.0, 5.0, 8.0, 5.0, 3.0, 6.0, 8.0, 5.0, 3.0, 6.0, 8.0, 5.0, 3.0, 7.0, 8.0, 5.0, 3.0, 7.0, 8.0, 6.0, 3.0, 7.0, 8.0, 6.0, 4.0, 7.0, 8.0, 7.0]"
280955435,Dominion,32,GAME_OVER,366,1,4,8,random,7.0,6.0,6.0,7.0,random,random,random,1,29,8,11,24,6,0,3,6,4,0,1,10,3,12,0,3,5,12,31,5,2,54,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 6.0, 4.0, 4.0, 5.0, 6.0, 4.0, 4.0, 5.0, 6.0, 4.0, 4.0, 5.0, 6.0, 5.0, 4.0, 5.0, 6.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 6.0, 7.0, 5.0, 4.0, 7.0, 7.0, 6.0, 4.0, 7.0, 7.0, 6.0, 4.0, 7.0, 7.0, 6.0, 4.0, 7.0, 7.0, 6.0, 4.0, 7.0, 7.0, 6.0, 4.0, 7.0, 7.0, 6.0, 3.0, 7.0, 7.0, 6.0, 3.0, 7.0, 7.0, 6.0]"
1980165081,Dominion,25,GAME_OVER,327,2,4,9,random,15.0,5.0,7.0,8.0,random,random,random,0,28,8,11,28,6,10,0,10,2,3,0,9,7,10,3,3,0,3,59,2,3,53,"[4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 4.0, 9.0, 3.0, 5.0, 4.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 5.0, 5.0, 9.0, 3.0, 6.0, 5.0, 9.0, 6.0, 6.0, 5.0, 9.0, 6.0, 6.0, 5.0, 9.0, 7.0, 7.0, 5.0, 9.0, 8.0, 7.0, 5.0, 9.0, 8.0, 7.0, 5.0, 9.0, 8.0, 7.0, 5.0, 9.0, 8.0, 7.0, 5.0, 15.0, 8.0, 6.0, 5.0, 15.0, 8.0, 6.0, 5.0, 15.0, 8.0, 7.0]"
644297482,Dominion,23,GAME_OVER,264,1,4,10,random,4.0,4.0,8.0,5.0,random,random,random,4,30,10,12,31,7,15,5,6,0,0,0,9,7,12,2,3,2,4,41,2,0,41,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 3.0, 4.0, 4.0, 6.0, 3.0, 4.0, 4.0, 6.0, 4.0, 4.0, 4.0, 7.0, 4.0, 4.0, 4.0, 7.0, 4.0, 4.0, 5.0, 7.0, 4.0, 4.0, 5.0, 7.0, 4.0, 4.0, 5.0, 7.0, 4.0, 4.0, 5.0, 8.0, 4.0, 4.0, 5.0, 8.0]"
-1937851049,Dominion,25,GAME_OVER,257,2,4,11,random,7.0,8.0,5.0,4.0,random,random,random,6,30,10,12,31,5,15,3,6,5,0,0,10,7,12,0,3,1,2,23,3,0,54,"[4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 4.0, 4.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 6.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 7.0, 5.0, 4.0, 5.0, 8.0, 6.0, 4.0, 5.0, 8.0, 6.0, 4.0, 5.0, 8.0, 6.0, 4.0, 5.0, 8.0, 6.0, 4.0, 5.0, 8.0, 6.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0]"
