GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
2061339001,Wonders7,18,GAME_OVER,72,0,4,2,random,13.0,32.0,21.0,27.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,44,28,0,2,2,7,7,1,5,4,2,0,4,2,3,0,0,0,14,0,0,2,1,1,1,1,145,0,0,1,2,29,"[2.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 2.0, 4.0, 1.0, 1.0, 3.0, 4.0, 2.0, 2.0, 4.0, 5.0, 3.0, 3.0, 7.0, 5.0, 4.0, 3.0, 7.0, 5.0, 7.0, 3.0, 8.0, 6.0, 8.0, 4.0, 9.0, 7.0, 9.0, 3.0, 10.0, 8.0, 11.0, 5.0, 11.0, 7.0, 10.0, 7.0, 11.0, 7.0, 11.0, 9.0, 15.0, 6.0, 18.0, 8.0, 16.0, 7.0, 19.0, 9.0, 17.0, 10.0, 20.0, 10.0, 25.0, 11.0, 21.0, 11.0, 27.0, 12.0, 22.0, 10.0, 28.0, 15.0, 23.0, 11.0]"
1548365045,Wonders7,18,GAME_OVER,72,0,4,3,random,14.0,35.0,14.0,38.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,49,23,0,3,1,3,6,1,5,4,1,0,4,0,2,0,1,1,4,1,1,2,0,1,2,0,161,0,0,0,2,38,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 2.0, 4.0, 4.0, 3.0, 2.0, 5.0, 5.0, 4.0, 3.0, 6.0, 6.0, 2.0, 7.0, 8.0, 7.0, 3.0, 8.0, 9.0, 8.0, 4.0, 8.0, 10.0, 9.0, 5.0, 9.0, 11.0, 10.0, 6.0, 10.0, 12.0, 11.0, 10.0, 11.0, 13.0, 18.0, 9.0, 18.0, 12.0, 20.0, 10.0, 20.0, 11.0, 21.0, 12.0, 22.0, 12.0, 22.0, 12.0, 23.0, 13.0, 23.0, 13.0, 24.0, 14.0, 25.0, 16.0, 28.0, 16.0]"
-1683547446,Wonders7,18,GAME_OVER,72,0,4,4,random,29.0,14.0,16.0,20.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,48,24,0,2,3,3,5,1,7,3,3,0,1,1,4,0,1,0,4,1,0,2,0,2,0,1,161,0,0,1,2,19,"[1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 4.0, 2.0, 2.0, 4.0, 5.0, 3.0, 3.0, 5.0, 6.0, 4.0, 3.0, 5.0, 7.0, 5.0, 4.0, 5.0, 9.0, 5.0, 5.0, 6.0, 10.0, 5.0, 5.0, 7.0, 11.0, 9.0, 6.0, 8.0, 12.0, 8.0, 7.0, 9.0, 12.0, 8.0, 7.0, 10.0, 13.0, 9.0, 8.0, 10.0, 17.0, 11.0, 9.0, 11.0, 18.0, 14.0, 10.0, 12.0, 20.0, 14.0, 13.0, 13.0, 21.0, 15.0, 14.0, 14.0, 22.0, 16.0, 15.0, 15.0, 24.0, 15.0, 17.0]"
-929794627,Wonders7,18,GAME_OVER,72,0,4,5,random,19.0,15.0,28.0,19.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,55,17,0,2,3,3,3,0,4,2,1,0,2,0,4,0,0,0,4,2,0,0,0,2,2,0,176,1,0,0,0,19,"[1.0, 2.0, 4.0, 2.0, 1.0, 3.0, 5.0, 3.0, 2.0, 4.0, 6.0, 3.0, 2.0, 5.0, 6.0, 3.0, 3.0, 6.0, 7.0, 3.0, 4.0, 7.0, 8.0, 4.0, 5.0, 9.0, 8.0, 7.0, 6.0, 10.0, 9.0, 7.0, 7.0, 11.0, 10.0, 7.0, 9.0, 10.0, 13.0, 6.0, 10.0, 11.0, 14.0, 5.0, 11.0, 12.0, 15.0, 6.0, 11.0, 13.0, 15.0, 13.0, 12.0, 14.0, 16.0, 14.0, 13.0, 15.0, 17.0, 15.0, 14.0, 15.0, 18.0, 16.0, 15.0, 18.0, 19.0, 17.0, 16.0, 19.0, 20.0, 18.0]"
2075023860,Wonders7,18,GAME_OVER,72,0,4,6,random,37.0,12.0,38.0,15.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,41,30,1,2,3,5,7,1,6,6,3,0,4,1,6,0,0,0,10,0,0,0,1,3,3,1,146,0,0,1,2,33,"[2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 3.0, 1.0, 3.0, 2.0, 4.0, 1.0, 4.0, 2.0, 4.0, 2.0, 5.0, 3.0, 5.0, 2.0, 7.0, 6.0, 6.0, 2.0, 6.0, 8.0, 4.0, 5.0, 7.0, 7.0, 5.0, 5.0, 8.0, 7.0, 7.0, 5.0, 9.0, 10.0, 8.0, 6.0, 10.0, 11.0, 11.0, 7.0, 11.0, 11.0, 12.0, 7.0, 10.0, 18.0, 11.0, 14.0, 12.0, 16.0, 14.0, 22.0, 13.0, 18.0, 12.0, 28.0, 12.0, 19.0, 14.0, 31.0, 13.0, 26.0, 15.0, 32.0, 14.0, 27.0, 16.0, 33.0]"
1817632614,Wonders7,18,GAME_OVER,72,0,4,7,random,7.0,39.0,15.0,36.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,53,17,2,3,0,3,5,0,4,2,3,0,4,0,5,0,0,0,4,0,0,0,0,1,0,0,171,0,0,1,1,39,"[2.0, 2.0, 2.0, 4.0, 5.0, 2.0, 2.0, 5.0, 5.0, 3.0, 3.0, 6.0, 6.0, 4.0, 3.0, 7.0, 7.0, 5.0, 6.0, 8.0, 8.0, 6.0, 6.0, 9.0, 10.0, 5.0, 9.0, 8.0, 10.0, 6.0, 10.0, 9.0, 14.0, 6.0, 9.0, 10.0, 15.0, 7.0, 10.0, 11.0, 16.0, 8.0, 11.0, 10.0, 15.0, 9.0, 14.0, 13.0, 22.0, 8.0, 21.0, 12.0, 23.0, 9.0, 22.0, 13.0, 24.0, 10.0, 23.0, 14.0, 25.0, 11.0, 24.0, 15.0, 27.0, 10.0, 25.0, 16.0, 29.0, 9.0, 26.0, 17.0]"
844800419,Wonders7,18,GAME_OVER,72,0,4,8,random,30.0,30.0,15.0,35.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,38,33,1,6,2,3,11,2,6,3,6,0,6,0,3,0,1,1,6,1,1,3,0,2,2,1,127,0,0,0,1,51,"[1.0, 0.0, 2.0, 2.0, 2.0, 1.0, 5.0, 3.0, 2.0, 2.0, 5.0, 4.0, 1.0, 2.0, 6.0, 5.0, 2.0, 3.0, 6.0, 8.0, 4.0, 4.0, 6.0, 9.0, 5.0, 3.0, 11.0, 10.0, 5.0, 2.0, 11.0, 10.0, 6.0, 3.0, 12.0, 10.0, 7.0, 3.0, 12.0, 11.0, 8.0, 3.0, 16.0, 12.0, 9.0, 4.0, 17.0, 12.0, 8.0, 15.0, 24.0, 9.0, 9.0, 16.0, 25.0, 11.0, 14.0, 17.0, 27.0, 14.0, 15.0, 18.0, 28.0, 15.0, 18.0, 24.0, 29.0, 16.0, 20.0, 26.0, 31.0, 17.0]"
62425033,Wonders7,18,GAME_OVER,72,0,4,9,random,25.0,19.0,34.0,20.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,46,24,2,3,2,3,7,0,5,4,2,0,5,0,6,0,1,0,7,1,0,0,0,2,0,0,155,1,0,0,4,39,"[2.0, 1.0, 2.0, 2.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 3.0, 3.0, 5.0, 5.0, 4.0, 4.0, 6.0, 6.0, 5.0, 5.0, 7.0, 6.0, 5.0, 6.0, 7.0, 6.0, 4.0, 9.0, 8.0, 7.0, 5.0, 10.0, 9.0, 6.0, 4.0, 11.0, 9.0, 9.0, 5.0, 12.0, 10.0, 10.0, 6.0, 13.0, 14.0, 11.0, 7.0, 12.0, 14.0, 12.0, 9.0, 19.0, 15.0, 13.0, 10.0, 20.0, 16.0, 12.0, 15.0, 21.0, 18.0, 11.0, 16.0, 22.0, 19.0, 13.0, 21.0, 23.0, 21.0, 15.0, 22.0, 24.0]"
847035520,Wonders7,18,GAME_OVER,72,0,4,10,random,24.0,26.0,33.0,19.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,45,26,1,5,1,5,6,0,7,2,2,0,3,0,2,0,0,0,13,0,0,3,1,2,1,1,159,0,0,0,1,42,"[4.0, 1.0, 1.0, 2.0, 5.0, 1.0, 2.0, 3.0, 5.0, 2.0, 3.0, 4.0, 6.0, 2.0, 4.0, 5.0, 7.0, 3.0, 7.0, 6.0, 6.0, 3.0, 8.0, 9.0, 8.0, 3.0, 9.0, 9.0, 9.0, 4.0, 10.0, 10.0, 12.0, 5.0, 11.0, 12.0, 12.0, 5.0, 12.0, 12.0, 11.0, 6.0, 13.0, 14.0, 12.0, 7.0, 14.0, 14.0, 19.0, 9.0, 13.0, 17.0, 20.0, 10.0, 15.0, 18.0, 22.0, 11.0, 16.0, 22.0, 23.0, 12.0, 18.0, 22.0, 26.0, 13.0, 19.0, 23.0, 28.0, 14.0, 21.0, 22.0]"
46292250,Wonders7,18,GAME_OVER,72,0,4,11,random,19.0,23.0,31.0,27.0,random,random,random,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,TheColossusOfRhodes,TheHangingGardensOfBabylon,0,37,35,0,6,3,5,9,2,3,7,3,0,4,1,2,0,0,1,12,1,1,5,1,2,2,0,117,1,0,3,2,43,"[4.0, 2.0, 2.0, 1.0, 4.0, 3.0, 3.0, 0.0, 4.0, 3.0, 6.0, 1.0, 5.0, 4.0, 7.0, 2.0, 6.0, 4.0, 7.0, 3.0, 6.0, 5.0, 6.0, 4.0, 6.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 8.0, 9.0, 7.0, 6.0, 8.0, 11.0, 11.0, 6.0, 11.0, 12.0, 11.0, 7.0, 9.0, 12.0, 12.0, 8.0, 10.0, 13.0, 11.0, 7.0, 18.0, 14.0, 12.0, 10.0, 17.0, 16.0, 17.0, 19.0, 16.0, 17.0, 18.0, 20.0, 17.0, 23.0, 19.0, 23.0, 19.0, 24.0, 20.0, 23.0, 21.0]"
